userName,score,content,at
A Google user,5,gajab,2025-06-04 21:06:36
A Google user,5,very good,2025-06-04 21:05:51
A Google user,5,Someone was using my WhatsApp And Y'all guys disable it I really need my WhatsApp back or delete my account and i can make a new one i need WhatsApp back urgent I do important stuffs there I need WhatsApp back,2025-06-04 21:05:28
A Google user,5,best,2025-06-04 21:05:10
A Google user,5,sIAiN Ssh,2025-06-04 21:04:56
A Google user,5,"it,s very good app and Help fully",2025-06-04 21:04:44
A Google user,5,"Whatsapp Band my account without carefully checking on my account and I have reviewed the account severally and after 24 hours it will open and the same thing will happen again. Now I can't have access to my account or remove the ban on my account, i need help",2025-06-04 21:04:19
A Google user,4,Was so great Enabled me to communicate with frens and family Also helped a lot with my business,2025-06-04 21:04:08
A Google user,5,Very very good!,2025-06-04 21:03:59
A Google user,5,good,2025-06-04 21:02:24
A Google user,5,boring about wanting to be updating within a few months and the next thing my device does not have enough space though I didn't add other apps in it it's highly inconveniencing.,2025-06-04 21:02:17
A Google user,5,please May watsapp opan please,2025-06-04 21:01:56
A Google user,1,"poor, very intrusive into my private life",2025-06-04 21:01:45
A Google user,3,like it,2025-06-04 21:00:56
A Google user,5,good,2025-06-04 21:00:28
A Google user,3,great app i like to used it for call and videos its wonderfull,2025-06-04 20:59:39
A Google user,5,wonderful,2025-06-04 20:59:35
A Google user,5,❤️❤️❤️❤️❤️,2025-06-04 20:59:26
A Google user,1,you guys disable my account and someone was using it not correctly that wasn't me I want my account back,2025-06-04 20:58:11
A Google user,5,but this the new version of the WhatsApp,2025-06-04 20:57:13
A Google user,4,very good,2025-06-04 20:57:04
A Google user,5,Moorthy s Vsrinivasan,2025-06-04 20:56:34
A Google user,3,There should be an option in watsap to allow some of contacts to access it There are some people i want to allow some i dont want to Some i want only to be on Sim card and selective contacts on watsap Please work on it not everyone can be added to watsap its a personal app plz try to have option of blue ticks for some accounts and some not i mean it should be selective,2025-06-04 20:56:31
A Google user,5,satisfied,2025-06-04 20:56:17
A Google user,5,who's fine great,2025-06-04 20:56:15
A Google user,5,good,2025-06-04 20:55:55
A Google user,3,can't seem to find folders I've created locally when it comes to sending multiple photos to someone :( poor,2025-06-04 20:55:25
A Google user,1,"Used to be an amazing lightweight messenger app that became the basic way of communicating for many of my friends. Now: bloated with ""meta"" integration, ""features"" that noone asked for like the ""ai"" and cannot be removed, forced updates so you can't even stay on the normal legacy version, while other messenger services can run fine without.",2025-06-04 20:55:08
A Google user,5,Ajmal zazai.@mile.come.,2025-06-04 20:54:11
A Google user,5,Calling•••Calling•••,2025-06-04 20:54:11
A Google user,5,Super,2025-06-04 20:54:03
A Google user,5,jatavath Huna naik,2025-06-04 20:54:02
A Google user,5,🏡 I'm,2025-06-04 20:53:22
A Google user,3,"tolong banget ini mah bjir, itu emot wa nya jangan gede begitu kosyakk jelek banget cokk sp yg usulin kalo kirim 1 emot jdi gde begitu gua hantam nih, itu benerin ga biar jdi kecil lagi cih",2025-06-04 20:53:16
A Google user,3,Better to use,2025-06-04 20:53:03
A Google user,5,World famous app,2025-06-04 20:53:02
A Google user,5,cicilia,2025-06-04 20:52:30
A Google user,4,"my account has been hacked, how can one retrieve it",2025-06-04 20:52:21
A Google user,1,not reseve verification code,2025-06-04 20:52:14
A Google user,5,"this app is good for fast communication and more but it keeps saying my account can no longer use WhatsApp and wants me to write a review please stop it , u can use the same email to access my account",2025-06-04 20:51:45
A Google user,5,great app,2025-06-04 20:51:41
A Google user,5,wonderful,2025-06-04 20:51:29
A Google user,5,op aap,2025-06-04 20:51:08
A Google user,5,helpfull 🥰,2025-06-04 20:50:52
A Google user,5,AfricanMy devotee,2025-06-04 20:50:36
A Google user,5,Super,2025-06-04 20:50:00
A Google user,4,Good,2025-06-04 20:49:52
A Google user,5,nice ha,2025-06-04 20:49:31
A Google user,1,rabuma,2025-06-04 20:49:30
A Google user,5,Nice application,2025-06-04 20:48:40
A Google user,5,Sonakshi sharma,2025-06-04 20:48:17
A Google user,5,😁,2025-06-04 20:47:52
A Google user,4,nice,2025-06-04 20:47:27
A Google user,5,lovely app😊❤️❣️,2025-06-04 20:47:22
A Google user,5,রাফিন,2025-06-04 20:47:04
A Google user,5,good,2025-06-04 20:46:14
A Google user,5,nice 👍🙂,2025-06-04 20:46:05
A Google user,5,good I love it,2025-06-04 20:46:03
A Google user,1,WhatsApp my problem block,2025-06-04 20:45:51
A Google user,2,my meta ai keeps saying my message wasn't sent no matter what other ai I switch to how do I fix it,2025-06-04 20:45:00
A Google user,5,Aliyu bakobiosabi,2025-06-04 20:44:59
A Google user,5,good app,2025-06-04 20:44:58
A Google user,3,I have not been able to get into my account all day they keep prompting me to use the 6 digit code which is the same code I've been using since day 1 yet aren't accepting it! exact same code.. why am I not being given the thumb print instead??? this is ridiculous,2025-06-04 20:44:55
A Google user,5,sargel,2025-06-04 20:44:26
A Google user,5,good,2025-06-04 20:43:34
A Google user,5,Verification code issue plz solve the problem,2025-06-04 20:43:16
A Google user,5,kedar kumar,2025-06-04 20:43:02
A Google user,5,Good,2025-06-04 20:42:11
A Google user,5,best app,2025-06-04 20:41:23
A Google user,5,good,2025-06-04 20:40:54
A Google user,5,good,2025-06-04 20:39:43
A Google user,5,good,2025-06-04 20:39:22
A Google user,5,sajjadali,2025-06-04 20:39:12
A Google user,1,manojkumar,2025-06-04 20:38:32
A Google user,5,Surajsingh@,2025-06-04 20:38:25
A Google user,2,"I never had any problem with Whatsapp, my phone restarted last night and today I can't share anything from Instagram to whatsapp.",2025-06-04 20:38:12
A Google user,4,one of the best messengers app it could be better if it would be like Snapchat,2025-06-04 20:37:36
A Google user,4,Good,2025-06-04 20:37:02
A Google user,5,ekadam badhiya WhatsApp,2025-06-04 20:36:19
A Google user,1,Request,2025-06-04 20:36:15
A Google user,5,super,2025-06-04 20:36:10
A Google user,5,very safe and reliable,2025-06-04 20:35:17
A Google user,1,Mechanical,2025-06-04 20:35:15
A Google user,1,Terrible. I am trying to add someone and it goes wrong every time. I add him and he adds me and we both get messages that the other does not have WhatsApp while we both do.,2025-06-04 20:34:39
A Google user,1,Vikash,2025-06-04 20:34:08
A Google user,5,I love this app so much,2025-06-04 20:33:33
A Google user,3,i loved this app but your ai is not working properly its pictures are not relevant to the text 😭😔😔😔,2025-06-04 20:33:24
A Google user,5,Best app ever,2025-06-04 20:33:20
A Google user,5,good,2025-06-04 20:33:10
A Google user,5,কূপ সুন্দর,2025-06-04 20:32:34
A Google user,4,great 👍,2025-06-04 20:32:32
A Google user,4,This is to bring to your notice that I am not doing any unnecessary chating I am using WhatsApp for the welfare of human beings people those who are suffering from any type of physical deficiencies I am trying to connect them with the such plateform from there they can get their healthier and happier life Therefore you are requested you open my whatsapp account and please don't block it it is a welfare measures,2025-06-04 20:31:32
A Google user,5,Like is not doing any more,2025-06-04 20:31:03
A Google user,5,nice 🥰,2025-06-04 20:30:41
A Google user,5,message,2025-06-04 20:30:40
A Google user,5,okay,2025-06-04 20:30:36
A Google user,5,Awesome,2025-06-04 20:27:50
A Google user,1,"WhatsApp backup is useless, i don't know what's the function for backup",2025-06-04 20:27:15
A Google user,5,urgently urgently try Jamshed ch,2025-06-04 20:27:07
A Google user,3,the new features are good but it's A bit slow I first thought it was network but it happened over and over again,2025-06-04 20:27:05
A Google user,1,MuhammadAli,2025-06-04 20:25:48
A Google user,5,"yes,WhatsApp is very easy for me to share my thoughts and photos with my friends.. thanks for WhatsApp team",2025-06-04 20:25:46
A Google user,3,very good,2025-06-04 20:25:24
A Google user,5,200 mil comments and only one saying Ohio gyatt,2025-06-04 20:24:00
A Google user,5,very nice hai bhai 😃😃,2025-06-04 20:23:36
A Google user,5,Ilike,2025-06-04 20:23:29
A Google user,5,nice aap,2025-06-04 20:23:17
A Google user,5,it was good for sends message and it was become secure after new update,2025-06-04 20:23:06
A Google user,2,Good,2025-06-04 20:22:53
A Google user,1,Please fix the media messages box. it keeps discarding what I'm writing and I can't scroll on it properly. No *saved as draft* when you leave the app no?! Lost the message I was writing. Only admins can see who left a group?! Fix Voice notes so they don't come out of the speaker so loudly or we can pick preferred output.,2025-06-04 20:22:47
A Google user,5,Shakoor Soomro,2025-06-04 20:21:18
A Google user,5,whatsapp,2025-06-04 20:20:38
A Google user,5,great,2025-06-04 20:20:34
A Google user,2,"The new ""Updates"" section in WhatsApp is frustrating. I really dislike the horizontal status layout and the forced Channels full of random content. WhatsApp used to be clean and focused, but now it feels like a cluttered social media app. I don't want instagram in my WhatsApp!!! Please bring back the old status view or at least let us disable Channels and Explore. This change seriously hurts the user experience. 😕🤢 Not only me! I can’t give more than 2 stars just because of this bad update!",2025-06-04 20:20:30
A Google user,5,"when i send voice recording to someone ,the person can't hear and when i play it myself too can't hear it please. thanks and have a nice day",2025-06-04 20:18:27
A Google user,1,Pointless meta ai 💩 on the main screen,2025-06-04 20:17:55
A Google user,4,"The app is good and user-friendly..The most nice thing is the app is super simple and has ai services. And also this app safe to use. But I will give you 5/5 stars if you could enable Meta ai Service for all the regions. I saw lot of my friends from other regions are sending me photos, videos created with Meta ai and I'm super sad that Meta ai isn't available for our region. I hope you can treat every user the same.",2025-06-04 20:17:31
A Google user,1,"If you find an issue with an app or review on Google Play, you can flag it to our team with the options below. We take your feedback seriously, and we appreciate your help in improving the Google Play experience. Android Computer Provide feedback about If you find an issue with an app or review on Google Play, you can flag it to our team with the options below. We take your feedback seriously, and we appreciate your help in improving the Google Play experience. Android Computer Provide feedb",2025-06-04 20:17:25
A Google user,2,"When you log in and pass the biometric challenge, it closes by itself. Tap open again, pass the biometric challenge again to use the app. 😣",2025-06-04 20:17:21
A Google user,2,aaggs,2025-06-04 20:17:19
A Google user,5,very good,2025-06-04 20:16:47
A Google user,5,بسیار عالی,2025-06-04 20:16:39
A Google user,5,i like you,2025-06-04 20:16:13
A Google user,2,Please clear my phone im 83 and needlecraft my phone it emergency,2025-06-04 20:16:01
A Google user,5,superr i am enjoy,2025-06-04 20:15:55
A Google user,1,Not fast,2025-06-04 20:15:45
A Google user,1,one day they deleted all my info and account so i lost it all for no reason NOT RELIABLE,2025-06-04 20:15:11
A Google user,4,supparb 👍👍👍👍hi,2025-06-04 20:14:59
A Google user,5,rwanda,2025-06-04 20:13:58
A Google user,5,ye app thik thak hai tum discord se bhi baat kar sakte ho mera discord id Neymarsito8620 hai request bjejo,2025-06-04 20:13:48
A Google user,5,this is so good,2025-06-04 20:13:42
A Google user,5,Laxman Bheel Kali Bai Love You,2025-06-04 20:13:18
A Google user,1,"I can't login my what's app account,please help me anyway. it's very important for me,please!",2025-06-04 20:12:00
A Google user,5,Awesome,2025-06-04 20:10:43
A Google user,5,super,2025-06-04 20:10:37
